"date","NGas","oil","coal"
2012-06-08,-0.2,-2.46,-0.25
2012-06-11,0.1,2.22,-0.75
2012-06-12,0.1,-4.24,-0.65
2012-06-13,-0.2,0.41,0.3
2012-06-14,-0.25,-0.58,-0.05
2012-06-15,0.15,0.3,-0.35
2012-06-18,-0.15,1.4,0.6
2012-06-19,-0.15,-2.7,0.05
2012-06-20,0,-0.76,0.35
2012-06-21,0.25,-3.28,-0.15
2012-06-22,0.1,-1.06,0.65
2012-06-25,-0.1,0.05,-0.05
2012-06-26,0.3,1.5,0
2012-06-27,0.25,0.7,0.2
2012-06-28,-0.12,-0.1,-0.1
2012-06-29,0.02,4.44,-0.1
2012-07-02,0.13,-0.42,3.35
2012-07-03,0.37,3.71,0.35
2012-07-04,0,-0.63,-0.1
2012-07-05,0.25,1.39,-0.65
2012-07-06,0.2,-1.94,-0.05
2012-07-09,0.25,0.66,-0.3
2012-07-10,-0.75,-1.41,-0.55
2012-07-11,-0.05,1.18,-0.3
2012-07-12,-0.2,0.53,-0.65
2012-07-13,0.12,2.08,0.4
2012-07-16,-0.12,0.25,0.1
2012-07-17,-0.1,1.06,0.4
2012-07-18,-0.26,0.85,0.4
2012-07-19,0.01,2.58,-0.05
2012-07-20,0.25,-0.48,-0.2
2012-07-23,-0.3,-0.76,-1.2
2012-07-24,0.1,-2.46,1.2
2012-07-25,0.1,0.23,0.15
2012-07-26,0.15,1.47,0.1
2012-07-27,-0.2,0.55,1.3
2012-07-30,0,0.26,2.05
2012-07-31,0.33,-0.47,1.85
2012-08-01,-0.08,0.4,0.3
2012-08-02,-0.15,0.38,-1.05
2012-08-03,-0.09,1.83,0.65
2012-08-06,-0.11,0.64,0.8
2012-08-07,0.25,2.79,0.35
2012-08-08,0.5,0.71,0.45
2012-08-09,0.27,0.26,-0.15
2012-08-10,0.03,0.01,-0.25
2012-08-13,0.2,1.57,0.5
2012-08-14,0,-0.81,-0.3
2012-08-15,-0.28,2.42,-1.15
2012-08-16,-0.17,0.31,-0.15
2012-08-17,0.26,-2.26,-0.05
2012-08-20,0.36,-0.07,-0.15
2012-08-21,-0.07,0.88,0.25
2012-08-22,0.05,-0.31,-0.2
2012-08-23,-0.2,1.11,-0.25
2012-08-24,0.05,-1.1,0.1
2012-08-28,0,-2.18,-0.1
2012-08-29,-0.2,0.2,0
2012-08-30,0.05,0.14,0
2012-08-31,0.79,1.49,0
2012-09-03,0.56,1.05,-0.85
2012-09-04,-0.3,0.67,-0.45
2012-09-05,-0.15,-2.27,-0.25
2012-09-06,0.15,0.77,-0.05
2012-09-07,-0.24,-0.5,-0.05
2012-09-10,-0.11,0.4,-0.7
2012-09-11,-0.37,0.41,-0.75
2012-09-12,0.14,1.21,-0.6
2012-09-13,0.48,0.81,-0.55
2012-09-14,-0.11,0.47,0.35
2012-09-17,0.01,-0.93,-0.1
2012-09-18,-0.4,-2.6,-0.2
2012-09-19,-0.14,-1.44,0.2
2012-09-20,0.19,-2.33,-0.2
2012-09-21,0.45,1.05,0
2012-09-24,-0.4,-0.14,-0.2
2012-09-25,0.2,-0.09,0
2012-09-26,-0.15,-1.24,0
2012-09-27,0.1,2.27,0
2012-09-28,0.95,0.9,0
2012-10-01,-0.11,-0.13,-2.45
2012-10-02,0.06,-0.82,0.15
2012-10-03,-0.05,-1.09,-0.2
2012-10-04,-0.1,1.33,0.55
2012-10-05,0.4,0.36,0.5
2012-10-08,0,-0.7,0.1
2012-10-09,-0.03,2.37,-0.1
2012-10-10,0.14,0.87,-0.6
2012-10-11,-0.28,0.43,-0.55
2012-10-12,-0.07,-0.06,-0.6
2012-10-15,-0.11,-0.05,-0.95
2012-10-16,0.05,0.29,0.65
2012-10-17,0.2,-1.89,0.7
2012-10-18,0.3,-0.68,-0.05
2012-10-19,0.4,-0.36,0.15
2012-10-22,0.45,-2.3,0
2012-10-23,-0.05,-1.17,-0.05
2012-10-24,-0.1,-0.46,-0.1
2012-10-25,-0.4,-0.06,0
2012-10-26,0.52,0.42,-0.05
2012-10-29,0.08,0.56,-1.8
2012-10-30,0.05,-0.16,0.6
2012-10-31,-0.55,-0.3,0.1
2012-11-01,0.05,-0.77,0.35
2012-11-02,-0.2,-0.23,0.25
2012-11-05,-0.2,-0.62,0.75
2012-11-06,0.27,3.13,1
2012-11-07,0.13,0.33,-0.55
2012-11-08,-0.15,-3.47,0.6
2012-11-09,0.05,1.61,0.05
2012-11-12,0.1,0.61,0.6
2012-11-13,-0.03,-1.41,-0.15
2012-11-14,-0.2,1.37,0
2012-11-15,0.33,0.77,0.75
2012-11-16,0.15,-1.87,0.4
2012-11-19,0.1,2.95,-0.2
2012-11-20,-0.17,-0.35,-0.2
2012-11-21,0.12,-0.39,-0.25
2012-11-22,0.03,-0.29,0.3
2012-11-23,0.12,0.37,0.15
2012-11-26,-0.41,-0.06,0
2012-11-27,0.11,-0.12,0.15
2012-11-28,-0.05,-1.19,0
2012-11-29,-0.12,1.13,0
2012-11-30,0.27,0.04,0
